id,title,description,category,hand,department,priority,sla_hours,urgency,resolution_steps,citations
syn-0011,Laptop fan loud after update — Vikram (Hardware) resolved,Laptop fan running loud and hot after Windows update build 8.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0011 | KB-INF-2
syn-0012,Printer paper jam on floor 7 — Sree (Hardware) resolved,"Printer paper jammed in 7nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P2,48,low,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0012 | KB-INF-1
syn-0013,Printer paper jam on floor 7 — Kiran (Hardware) resolved,"Printer paper jammed in 7nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P0,4,high,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0013 | KB-INF-1
syn-0014,Laptop fan loud after update — Vikram (Hardware) resolved,Laptop fan running loud and hot after Windows update build 7.,Infrastructure,2,Hardware,P2,48,low,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0014 | KB-INF-2
syn-0015,Docker hypervisor error — escalated to Sree hardware team,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P1,24,medium,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0015 | KB-INF-2
syn-0016,Docker Desktop hypervisor error — Kiran (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P2,48,low,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0016 | KB-INF-2
syn-0017,Docker Desktop hypervisor error — Vikram (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P1,24,medium,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0017 | KB-INF-2
syn-0018,Laptop battery not charging — Sree (Hardware) resolved,Laptop charger plugged in but battery stuck at 9%. No charging light.,Infrastructure,1,Hardware,P2,48,low,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0018 | KB-INF-1
syn-0019,Laptop fan loud after update — Kiran (Hardware) resolved,Laptop fan running loud and hot after Windows update build 9.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0019 | KB-INF-2
syn-0020,Printer paper jam on floor 7 — Vikram (Hardware) resolved,"Printer paper jammed in 7nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P2,48,low,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0020 | KB-INF-1
syn-0021,Laptop fan loud after update — Sree (Hardware) resolved,Laptop fan running loud and hot after Windows update build 7.,Infrastructure,2,Hardware,P0,4,high,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0021 | KB-INF-2
syn-0022,Docker Desktop hypervisor error — Kiran (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P0,4,high,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0022 | KB-INF-2
syn-0023,Laptop fan loud after update — Vikram (Hardware) resolved,Laptop fan running loud and hot after Windows update build 4.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0023 | KB-INF-2
syn-0024,Printer paper jam on floor 7 — Sree (Hardware) resolved,"Printer paper jammed in 7nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P2,48,low,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0024 | KB-INF-1
syn-0025,Docker Desktop hypervisor error — Kiran (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P0,4,high,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0025 | KB-INF-2
syn-0026,Docker Desktop hypervisor error — Vikram (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P0,4,high,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0026 | KB-INF-2
syn-0027,Laptop battery not charging — Sree (Hardware) resolved,Laptop charger plugged in but battery stuck at 4%. No charging light.,Infrastructure,1,Hardware,P2,48,low,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0027 | KB-INF-1
syn-0028,Laptop fan loud after update — Kiran (Hardware) resolved,Laptop fan running loud and hot after Windows update build 4.,Infrastructure,2,Hardware,P2,48,low,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0028 | KB-INF-2
syn-0029,Laptop fan loud after update — Vikram (Hardware) resolved,Laptop fan running loud and hot after Windows update build 7.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0029 | KB-INF-2
syn-0030,Printer paper jam on floor 7 — Sree (Hardware) resolved,"Printer paper jammed in 7nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P0,4,high,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0030 | KB-INF-1
syn-0031,Laptop battery not charging — Kiran (Hardware) resolved,Laptop charger plugged in but battery stuck at 9%. No charging light.,Infrastructure,1,Hardware,P2,48,low,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0031 | KB-INF-1
syn-0032,Printer paper jam on floor 5 — Vikram (Hardware) resolved,"Printer paper jammed in 5nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P1,24,medium,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0032 | KB-INF-1
syn-0033,Suspected hardware tampering — Sree (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P1,24,medium,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0033 | KB-INF-3
syn-0034,Docker Desktop hypervisor error — Kiran (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P1,24,medium,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0034 | KB-INF-2
syn-0035,Printer paper jam on floor 5 — Vikram (Hardware) resolved,"Printer paper jammed in 5nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P1,24,medium,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0035 | KB-INF-1
syn-0036,Docker Desktop hypervisor error — Sree (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P1,24,medium,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0036 | KB-INF-2
syn-0037,Laptop fan loud after update — Kiran (Hardware) resolved,Laptop fan running loud and hot after Windows update build 7.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0037 | KB-INF-2
syn-0038,Suspected hardware tampering — Vikram (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P1,24,medium,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0038 | KB-INF-3
syn-0039,Docker Desktop hypervisor error — Sree (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P0,4,high,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0039 | KB-INF-2
syn-0040,Docker Desktop hypervisor error — Kiran (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P2,48,low,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0040 | KB-INF-2
syn-0041,Suspected hardware tampering — Vikram (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P0,4,high,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0041 | KB-INF-3
syn-0042,Suspected hardware tampering — Sree (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P1,24,medium,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0042 | KB-INF-3
syn-0043,Laptop fan loud after update — Kiran (Hardware) resolved,Laptop fan running loud and hot after Windows update build 8.,Infrastructure,2,Hardware,P0,4,high,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0043 | KB-INF-2
syn-0044,Docker Desktop hypervisor error — Vikram (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P2,48,low,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0044 | KB-INF-2
syn-0045,Laptop battery not charging — Sree (Hardware) resolved,Laptop charger plugged in but battery stuck at 5%. No charging light.,Infrastructure,1,Hardware,P1,24,medium,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0045 | KB-INF-1
syn-0046,Printer paper jam on floor 9 — Kiran (Hardware) resolved,"Printer paper jammed in 9nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P0,4,high,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0046 | KB-INF-1
syn-0047,Laptop battery not charging — Vikram (Hardware) resolved,Laptop charger plugged in but battery stuck at 6%. No charging light.,Infrastructure,1,Hardware,P1,24,medium,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0047 | KB-INF-1
syn-0048,Laptop fan loud after update — Sree (Hardware) resolved,Laptop fan running loud and hot after Windows update build 9.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0048 | KB-INF-2
syn-0049,Docker Desktop hypervisor error — Kiran (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P2,48,low,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0049 | KB-INF-2
syn-0050,Docker Desktop hypervisor error — Vikram (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P1,24,medium,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0050 | KB-INF-2
syn-0051,Laptop fan loud after update — Sree (Hardware) resolved,Laptop fan running loud and hot after Windows update build 8.,Infrastructure,2,Hardware,P2,48,low,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0051 | KB-INF-2
syn-0052,Suspected hardware tampering — Kiran (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P2,48,low,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0052 | KB-INF-3
syn-0053,Laptop fan loud after update — Vikram (Hardware) resolved,Laptop fan running loud and hot after Windows update build 4.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0053 | KB-INF-2
syn-0054,Printer paper jam on floor 2 — Sree (Hardware) resolved,"Printer paper jammed in 2nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P2,48,low,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0054 | KB-INF-1
syn-0055,Docker Desktop hypervisor error — Kiran (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P2,48,low,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0055 | KB-INF-2
syn-0056,Docker Desktop hypervisor error — Vikram (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P2,48,low,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0056 | KB-INF-2
syn-0057,Docker Desktop hypervisor error — Sree (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P1,24,medium,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0057 | KB-INF-2
syn-0058,Docker Desktop hypervisor error — Kiran (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P1,24,medium,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0058 | KB-INF-2
syn-0059,Laptop fan loud after update — Vikram (Hardware) resolved,Laptop fan running loud and hot after Windows update build 4.,Infrastructure,2,Hardware,P2,48,low,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0059 | KB-INF-2
syn-0060,Laptop battery not charging — Sree (Hardware) resolved,Laptop charger plugged in but battery stuck at 7%. No charging light.,Infrastructure,1,Hardware,P1,24,medium,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0060 | KB-INF-1
syn-0061,Laptop battery not charging — Kiran (Hardware) resolved,Laptop charger plugged in but battery stuck at 2%. No charging light.,Infrastructure,1,Hardware,P2,48,low,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0061 | KB-INF-1
syn-0062,Laptop fan loud after update — Vikram (Hardware) resolved,Laptop fan running loud and hot after Windows update build 2.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0062 | KB-INF-2
syn-0063,Laptop battery not charging — Sree (Hardware) resolved,Laptop charger plugged in but battery stuck at 3%. No charging light.,Infrastructure,1,Hardware,P2,48,low,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0063 | KB-INF-1
syn-0064,Laptop battery not charging — Kiran (Hardware) resolved,Laptop charger plugged in but battery stuck at 3%. No charging light.,Infrastructure,1,Hardware,P0,4,high,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0064 | KB-INF-1
syn-0065,Docker Desktop hypervisor error — Vikram (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P1,24,medium,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0065 | KB-INF-2
syn-0066,Printer paper jam on floor 9 — Sree (Hardware) resolved,"Printer paper jammed in 9nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P2,48,low,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0066 | KB-INF-1
syn-0067,Laptop battery not charging — Kiran (Hardware) resolved,Laptop charger plugged in but battery stuck at 4%. No charging light.,Infrastructure,1,Hardware,P0,4,high,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0067 | KB-INF-1
syn-0068,Laptop fan loud after update — Vikram (Hardware) resolved,Laptop fan running loud and hot after Windows update build 6.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0068 | KB-INF-2
syn-0069,Printer paper jam on floor 7 — Sree (Hardware) resolved,"Printer paper jammed in 7nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P2,48,low,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0069 | KB-INF-1
syn-0070,Printer paper jam on floor 8 — Kiran (Hardware) resolved,"Printer paper jammed in 8nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P1,24,medium,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0070 | KB-INF-1
syn-0071,Docker Desktop hypervisor error — Vikram (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P2,48,low,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0071 | KB-INF-2
syn-0072,Docker Desktop hypervisor error — Sree (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P2,48,low,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0072 | KB-INF-2
syn-0073,Laptop battery not charging — Kiran (Hardware) resolved,Laptop charger plugged in but battery stuck at 7%. No charging light.,Infrastructure,1,Hardware,P1,24,medium,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0073 | KB-INF-1
syn-0074,Laptop battery not charging — Vikram (Hardware) resolved,Laptop charger plugged in but battery stuck at 9%. No charging light.,Infrastructure,1,Hardware,P0,4,high,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0074 | KB-INF-1
syn-0075,Laptop fan loud after update — Sree (Hardware) resolved,Laptop fan running loud and hot after Windows update build 7.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0075 | KB-INF-2
syn-0076,Laptop fan loud after update — Kiran (Hardware) resolved,Laptop fan running loud and hot after Windows update build 9.,Infrastructure,2,Hardware,P2,48,low,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0076 | KB-INF-2
syn-0077,Docker Desktop hypervisor error — Vikram (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P1,24,medium,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0077 | KB-INF-2
syn-0078,Suspected hardware tampering — Sree (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P1,24,medium,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0078 | KB-INF-3
syn-0079,Suspected hardware tampering — Kiran (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P2,48,low,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0079 | KB-INF-3
syn-0080,Docker Desktop hypervisor error — Vikram (Hardware) resolved,Docker Desktop failing to start with hypervisor error after BIOS update.,Infrastructure,2,Hardware,P0,4,high,Enable VT-x/AMD-V in BIOS settings. | Disable conflicting hypervisors (VirtualBox/WSL1). | Reinstall Docker Desktop with admin rights.,SYN-0080 | KB-INF-2
syn-0081,Laptop fan loud after update — Sree (Hardware) resolved,Laptop fan running loud and hot after Windows update build 6.,Infrastructure,2,Hardware,P2,48,low,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0081 | KB-INF-2
syn-0082,Laptop fan loud after update — Kiran (Hardware) resolved,Laptop fan running loud and hot after Windows update build 7.,Infrastructure,2,Hardware,P2,48,low,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0082 | KB-INF-2
syn-0083,Printer paper jam on floor 4 — Vikram (Hardware) resolved,"Printer paper jammed in 4nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P1,24,medium,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0083 | KB-INF-1
syn-0084,Suspected hardware tampering — Sree (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P1,24,medium,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0084 | KB-INF-3
syn-0085,Laptop fan loud after update — Kiran (Hardware) resolved,Laptop fan running loud and hot after Windows update build 3.,Infrastructure,2,Hardware,P1,24,medium,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0085 | KB-INF-2
syn-0086,Printer paper jam on floor 2 — Vikram (Hardware) resolved,"Printer paper jammed in 2nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P1,24,medium,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0086 | KB-INF-1
syn-0087,Laptop fan loud after update — Sree (Hardware) resolved,Laptop fan running loud and hot after Windows update build 8.,Infrastructure,2,Hardware,P2,48,low,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0087 | KB-INF-2
syn-0088,Laptop battery not charging — Kiran (Hardware) resolved,Laptop charger plugged in but battery stuck at 4%. No charging light.,Infrastructure,1,Hardware,P2,48,low,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0088 | KB-INF-1
syn-0089,Laptop battery not charging — Vikram (Hardware) resolved,Laptop charger plugged in but battery stuck at 9%. No charging light.,Infrastructure,1,Hardware,P1,24,medium,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0089 | KB-INF-1
syn-0090,Suspected hardware tampering — Sree (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P0,4,high,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0090 | KB-INF-3
