ticket_id,title,description,expected_department,actual_department,department_correct,expected_category,actual_category,category_correct,actual_hand,actual_hand_label,expected_hand,hand_correct,confidence,classifier_source,classifier_confidence_hint,policy_trigger,routing_reason,rag_score,rag_match_id,latency_sec
TF21,Capgemini MyWizard portal invalid credentials,Cannot login to Capgemini MyWizard employee portal after password reset. Portal shows invalid credentials and weekly timesheet submission is due before Friday cutoff.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,1,False,0.651,rag,medium,c_total_band,Classifier: Access Management (rag); Supervisor policy: c_total_band; RAG similarity 0.69 (trusted),0.685,kb-access-001,4.84
TF22,Accenture client RDP access request pending three days,Need RDP access to an Accenture client UAT Windows server for regression testing. Access request has been pending approval for three days and go-live is blocked.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Access Management (keyword); Supervisor policy: low_grounding; RAG similarity 0.60 (low_title_overlap),0.605,kb-access-001,15.16
TF23,Deloitte SharePoint document library access denied,Deloitte audit engagement SharePoint document library returns access denied for the compliance folder. Need read access to submit working papers before partner review.,Access Management,Software,False,Access Management,Application,False,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Application (keyword); Supervisor policy: low_grounding; RAG similarity 0.59 (low_title_overlap),0.593,kb-access-001,16.34
TF24,JPMorgan Markets trading platform account locked,JPMorgan Markets trading platform account locked after five failed password attempts. Need access restored before US market open at 7 PM IST.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,2,True,0.65,rag,medium,c_total_band,Classifier: Access Management (rag); Supervisor policy: c_total_band; RAG similarity 0.68 (trusted),0.684,kb-access-001,6.82
TF25,Goldman Sachs SQL Server deadlock on risk database,Goldman Sachs SQL Server risk reporting database shows persistent deadlocks on VaR calculation stored procedures. Risk reports are delayed for the global risk committee.,DBA,DBA,True,Database,Database,True,2,Team Assist,2,True,0.735,rag,high,c_total_band,Classifier: Database (rag); Supervisor policy: c_total_band; RAG similarity 0.72 (trusted),0.725,kb-db-011,4.45
TF26,HSBCnet corporate banking portal login locked,Cannot login to HSBCnet corporate banking portal because the account locked after three failed attempts. Need urgent access to approve supplier payments before 4 PM IST cutoff.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,2,True,0.653,rag,medium,c_total_band,Classifier: Access Management (rag); Supervisor policy: c_total_band; RAG similarity 0.69 (trusted),0.688,kb-access-001,5.04
TF27,Stripe AWS secret key pushed to public GitHub,Stripe production AWS secret access key was accidentally committed to a public GitHub repository in a CI pipeline log. Key is visible in commit history and needs immediate rotation and git purge.,SecOps,SecOps,True,Security,Security,True,3,Specialist,3,True,0.27,keyword,high,security_policy,Classifier: Security (keyword); Supervisor policy: security_policy; RAG similarity 0.56 (low_title_overlap),0.564,kb-access-001,5.15
TF28,Uber suspicious RDP login from foreign IP,SIEM alert shows successful RDP login to an Uber finance server from an unknown foreign IP at 2 AM IST. Account finance-batch-svc had no scheduled job at that time.,SecOps,SecOps,True,Security,Security,True,3,Specialist,3,True,0.27,keyword,high,security_policy,Classifier: Security (keyword); Supervisor policy: security_policy; RAG similarity 0.58 (low_title_overlap),0.584,kb-access-001,4.67
TF29,Tesla ransomware note found on shared file server,Ransomware note DECRYPT_INSTRUCTIONS.txt found on a Tesla engineering shared file server. Multiple project folders are encrypted with .locked extension and production CAD files are affected.,SecOps,SecOps,True,Security,Security,True,3,Specialist,3,True,0.27,keyword,high,security_policy,Classifier: Security (keyword); Supervisor policy: security_policy; RAG similarity 0.59 (low_title_overlap),0.595,kb-storage-009,6.3
TF30,Airbnb phishing email impersonating IT password reset,Airbnb employee received a phishing email impersonating IT password reset with a malicious link. Three colleagues clicked the link and DLP flagged credential entry on a fake Okta page.,SecOps,SecOps,True,Security,Security,True,3,Specialist,3,True,0.21,rag,medium,security_policy,Classifier: Security (rag); Supervisor policy: security_policy; RAG similarity 0.61 (trusted),0.606,kb-access-001,5.82
